"","feature","exposure","coef","stderr","pval","k","tau2","stderr.tau2","pval.tau2","I2","H2","weight_FengQ_2015.metaphlan_bugs_list.stool","weight_HanniganGD_2017.metaphlan_bugs_list.stool","weight_VogtmannE_2016.metaphlan_bugs_list.stool","weight_YuJ_2015.metaphlan_bugs_list.stool","weight_ZellerG_2014.metaphlan_bugs_list.stool","pval.bonf","qval.fdr"
"s__Bulleidia_extructa","s__Bulleidia_extructa","CRC",4.7751747700656e-05,3.58347550416073e-05,0.182678195297563,4,0,1.85716867555575e-08,0.723973815925598,0,1,93.3826628439088,NA,1.97358728648904,4.1686042775825,0.475145592019651,1,0.541785672385713
"s__Vernonia_yellow_vein_Fujian_virus_betasatellite","s__Vernonia_yellow_vein_Fujian_virus_betasatellite","CRC",-0.000175023694178419,0.000227824114746505,0.442344362438828,2,0,1.79550198337678e-07,0.428325955509137,0,1,28.6477836328225,NA,NA,71.3522163671775,NA,1,0.763773806180137
"s__Citrobacter_freundii","s__Citrobacter_freundii","CRC",-0.00124584639913721,0.00107592283966289,0.246891440933205,5,0,4.50159795747522e-06,0.646881908995868,0,1,17.2774423330479,1.7474707968987,61.3286670076685,11.8364471653216,7.80997269706332,1,0.594504763242146
"s__Rhodococcus_erythropolis","s__Rhodococcus_erythropolis","CRC",-0.000406057603322053,0.000356533703687769,0.257411020379981,1,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,1,0.605959617904106
"s__Streptococcus_infantarius","s__Streptococcus_infantarius","CRC",7.86448310541176e-05,0.000108659442085312,0.469204765052588,4,0,1.17429245570135e-07,0.602978867119738,0,1,0.848373793753209,NA,90.7091628576876,1.41347492257821,7.02898842598095,1,0.785796215520598
"s__Leuconostoc_carnosum","s__Leuconostoc_carnosum","CRC",0.000114937377641558,0.000172565799283697,0.505379412214719,5,6.41609001012978e-08,1.0029743484386e-07,0.0764833124616169,49.8777646008271,1.99512250807653,23.8709901978025,2.22666627648213,20.2924197011239,44.0020113289467,9.60791249564478,1,0.794172335915127
"s__Weissella_cibaria","s__Weissella_cibaria","CRC",-0.000153401335841059,0.000116396542380936,0.187530416267038,5,0,4.61129312839714e-08,0.854117401597286,0,1,53.7418420021391,0.457172831863839,27.9272396989412,8.16761008786814,9.7061353791878,1,0.543450294339288
"s__Staphylococcus_aureus","s__Staphylococcus_aureus","CRC",0.000143978022874552,0.000361726254963131,0.690607824213159,3,2.55014671503229e-07,3.98044552051991e-07,0.0510189157124421,66.1644262179337,2.95546931298096,24.2897505483825,NA,32.5142451701691,NA,43.1960042814484,1,0.905837904929998
"s__Ruminococcus_champanellensis","s__Ruminococcus_champanellensis","CRC",-0.00235918997779235,0.00193292528680234,0.222264675291055,4,9.7725217620211e-06,1.21472303569845e-05,0.029824421969493,81.8050496362447,5.49603038209998,33.7018814184039,NA,13.5695690875837,36.7555598300108,15.9729896640016,1,0.569185729316777
"s__Eikenella_corrodens","s__Eikenella_corrodens","CRC",0.000668882902880765,0.000202472937570028,0.000954631750166994,4,1.65052664282521e-08,1.29031508304416e-07,0.289273278976242,8.85110953835538,1.09710605903733,10.4276875273288,NA,39.0066031309202,5.04104366567346,45.5246656760775,0.462041767080825,0.0347594866193596
"s__Lachnospiraceae_bacterium_ICM7","s__Lachnospiraceae_bacterium_ICM7","CRC",6.15129408399978e-06,6.55711536802537e-05,0.925259310615593,4,3.57714744642589e-09,2.18284023466651e-08,0.579553142646006,11.4787565168198,1.12967233700237,76.7934094351949,NA,1.97191139357144,9.98039024786665,11.254288923367,1,0.972540511971995
"s__Campylobacter_gracilis","s__Campylobacter_gracilis","CRC",0.000472574897285784,0.000219312012140405,0.0311769979588992,4,6.28571985624759e-08,1.6044685804848e-07,0.323553163526341,31.8274334809177,1.46686570721976,45.7895867317868,NA,10.9520675659963,19.7045915263344,23.5537541758825,1,0.210141535700842
"s__Pediococcus_pentosaceus","s__Pediococcus_pentosaceus","CRC",9.17759137499148e-05,7.68471920855436e-05,0.232374314383813,4,2.74962205902918e-09,2.67293875887432e-08,0.611071324619073,7.00988803473778,1.07538315511822,1.81172660126886,NA,73.0866711983797,12.5065284420842,12.5950737582673,1,0.581942527585436
"s__Leuconostoc_citreum","s__Leuconostoc_citreum","CRC",-2.06563840989551e-05,0.000159100234436917,0.896698934770879,4,7.10190328844791e-08,7.76895399611728e-08,0.270508048559864,88.5192234572333,8.71021220798895,34.4671740871022,NA,31.1316644563685,31.9612068154463,2.43995464108299,1,0.963492895107038
"s__Bacteroides_fluxus","s__Bacteroides_fluxus","CRC",0.000609169466844492,0.000648321183419811,0.347417328608993,4,0,1.64497607715235e-06,0.686901957713573,0,1,72.7203596890565,NA,1.23140641771301,23.2908560877821,2.75737780544838,1,0.667261853360129
"s__Brachyspira_unclassified","s__Brachyspira_unclassified","CRC",-0.000175077029640391,0.000253060240735659,0.489038228968098,3,1.01484149231189e-07,2.25242599392725e-07,0.16727541342235,46.2067384097076,1.85896889394128,62.0504249647678,NA,16.5665942061985,NA,21.3829808290337,1,0.794172335915127
"s__Collinsella_intestinalis","s__Collinsella_intestinalis","CRC",-0.00218465621574195,0.00130231405226202,0.0934410898889689,5,0,5.46732487303409e-06,0.885456347151296,0,1,3.55466729440746,1.81473939365521,8.30579464977148,51.3690937615052,34.9557049006607,1,0.40240555157051
"s__Comamonas_unclassified","s__Comamonas_unclassified","CRC",-0.00012039853464801,8.22916905009199e-05,0.143448122622061,4,1.33834288970398e-09,2.20068916026189e-08,0.329224046571437,4.8401180142192,1.05086300984424,31.8908748993707,NA,28.9363664691271,14.4433472672253,24.7294113642768,1,0.499488426971782
"s__Lactobacillus_oris","s__Lactobacillus_oris","CRC",-0.000242531389702907,0.000251113666916965,0.334132688552636,3,1.67589000716401e-08,3.00522233170307e-07,0.414350326915406,4.35000224939532,1.0454783309116,1.42401726072916,NA,80.679746359183,NA,17.8962363800878,1,0.657399273412504
"s__Cryptobacterium_curtum","s__Cryptobacterium_curtum","CRC",4.16987623375092e-05,2.93786567782862e-05,0.155795356869637,3,0,7.08784832936128e-09,0.911047318435219,0,1,89.4187379019522,NA,NA,9.11495084569069,1.46631125235714,1,0.512958862074178
